"[].applicable","[].approved","[].choices","[].current_progress","[].date_created","[].date_updated","[].measure_published","[].rating","[].source","[].status","[].id","[].localteam_id.municipality_id[].name","[].measure_id.date_updated","[].measure_id.measure_id","[].measure_id.must_be_rated_again","[].measure_id.name","[].measure_id.catalog_version.name","[].measure_id.catalog_version.id","[].measure_id.catalog_version"
"true","true","7","null","2024-05-05T13:23:55.686Z","2024-05-05T18:08:40.183Z","true","0.25","https://www.sw-bw.de/gas/produkte","published","000164eb-cadf-42c7-8f4d-1253c6645948","Bad Windsheim","2025-10-27T23:02:49.290Z","EN_06","null","Kein Greenwashing für Gas","beta","003dd7f9-add8-4e32-91d0-995df8087d0b",
"true","true","7","null","2025-10-28T16:01:30.885Z","2025-10-28T17:11:17.678Z","true","0.25","Eine Liste der Repaircafés findet man unter:	https://frankfurt.de/themen/klima-und-energie/klimaschutz/konsum-und-ernaehrung/repair-cafe	Die Anzahl der Repaircafés ist hoch, aber die meisten haben nur 1x pro Monat geöffnet.","published","000274d1-1f17-4b1c-8294-a9b5ce00ce83","Frankfurt","2025-10-28T16:01:29.569Z","IWK_10","false","Repaircafé","v1.0","9bfd9080-8329-4447-b6de-008abb1e3431",
"true","true","7","null","2024-05-06T16:49:38.023Z","null","true","null","null","draft","00036004-1413-4844-9473-5054a04279e8","Mülheim an der Ruhr","2025-10-27T23:02:49.290Z","LNE_05","null","Umstellung auf ökologisch angebaute vegetarisch Ernährung in öffentlicher Verpflegung","beta","003dd7f9-add8-4e32-91d0-995df8087d0b",
"true","true","4","null","2025-10-28T16:35:00.982Z","null","true","null","null","draft","0004eb71-dcb7-4157-9f50-1ecd063ce3b9","Bingen am Rhein","2025-11-09T10:26:38.892Z","VK_05","true","ÖPNV-Ausbau","v1.0","9bfd9080-8329-4447-b6de-008abb1e3431",
"true","true","7","null","2025-10-28T16:01:30.738Z","2025-10-28T17:11:22.142Z","true","1","https://www.bornheim.de/aktuelles/repair-cafe-in-roisdorf-2	Im Stadtgebiet gibt es weitere Angebote, die in einer Übersicht der Repair-Cafés zusammengefasst sind		","published","000efbf4-b6f4-42ce-8afa-4d48c4be7b92","Bornheim","2025-10-28T16:01:29.569Z","IWK_10","false","Repaircafé","v1.0","9bfd9080-8329-4447-b6de-008abb1e3431",
"true","true","7","null","2024-04-08T15:51:52.309Z","2024-07-10T17:28:59.990Z","true","0.75","https://www.uslar.de/portal/seiten/klimaschutz-900000121-30090.html","published","001015e7-274d-4b3d-b083-302d46e374b0","Uslar","2025-10-27T23:02:49.290Z","KV_08","null","Klimaschutzmanagement der Kommune","beta","003dd7f9-add8-4e32-91d0-995df8087d0b",
"true","true","7","null","2025-10-28T16:18:30.621Z","2025-10-28T17:10:41.588Z","true","null","null","draft","001d9cf1-10df-4386-b091-a575399b3fe3","Coswig","2025-10-28T16:18:30.116Z","KV_10","false","Sektorübergreifendes Klimaschutzkonzept","v1.0","9bfd9080-8329-4447-b6de-008abb1e3431",
"true","true","7","null","2024-04-08T18:01:38.135Z","2024-04-11T06:48:40.542Z","true","0","null","published","001e7144-8aaa-4c7f-a636-47dc23c18dfa","Neustadt","2025-10-27T23:02:49.290Z","GW_02","null","Transformationsplan zur Dekarbonisierung vorhandener Fernwärmenetze","beta","003dd7f9-add8-4e32-91d0-995df8087d0b",
"true","true","7","null","2025-10-28T16:39:07.674Z","2025-10-28T17:09:58.809Z","true","null","null","draft","00224d8f-0fae-4ab5-9834-d175127b7402","Ratingen","2025-10-28T16:39:06.183Z","VK_20","true","Systemische Mängelerfassung und Sanierung der Radwege","v1.0","9bfd9080-8329-4447-b6de-008abb1e3431",
"true","true","4","null","2025-10-28T15:58:54.997Z","2025-10-28T17:10:56.549Z","true","null","null","draft","00344648-f824-49f7-9aeb-b31098778686","Freiburg","2025-10-28T15:58:54.077Z","IWK_08","true","Zero Waste–Strategie","v1.0","9bfd9080-8329-4447-b6de-008abb1e3431",
